"@Gussumbogo","Lah siapa ente kok mau melarang dakwah Agama Allah di bumi Allah? Jangankan ancaman, sekalipun pedang dikalungkan dileher, Demi Allah dakwah untuk mengembalikan Kejayaan Islam tidak akan terhenti. Justru Ane yg menghimbau ente @GPAnsor_Satu, kembalilah kepangkuan Allah!","Radikal-1"
"@WSuparmo","Tujuan akhir adalah mati JIHAD!","Radikal-1"
"@fauzanshbn","Makin beringas serangan musuh-musuh Allah. Makin dekat kemenangan Islam. Begitulah sejarah para Nabi bertutur. Dan inilah yang kami yakini","Radikal-1"
"@RizalSaiba","Allah Akbar..!!! Teruslah maju melangkah, sekalipun banyak hambatan dan rintangan....Karena Dakwah tak akan pernah berhenti hingga Allah memenangkan Islam atau kita mati karenanya.","Radikal-1"
"@paanbakaq","Islam Sejati Berani Mati #UP The one only #Bersendirimembinakerajaanislam","Radikal-1"
"@Hafidz_AR1924","Kita semua akan menjadi saksi saat mereka diseret dan ditelanjangi semuanya","Radikal-1"
"@Intel_FPI","semakin banyak umat yang hadir, maka semakin besar ketakutan yang menyelimuti para penjajah zionis Israel","Radikal-1"
"@Intel_FPI","menggetarkan jiwa saudara2 kita di Gaza yang semakin yakin bahwa mereka tidak berjuang sendirian . dan memberikan getaran ketakutan hebat di dalam lubuk hati para pemukim yahudi di Palestina bhw yg mereka hadapi bukan hanya Palestina, akan tetapi juga 200 juta muslim indonesia.","Radikal-1"
"@Intel_FPI","Jangan Diam, Lawan Mereka yang Mempermainkan ayat suci al Quran untuk Politik!","Radikal-1"
"@Muslim_Bersatu1","Suasana Deklarasi Akbar #2019GantiPresiden .... Puluhan Ribu Masyarakat Membanjiri Lokasi.... Ayo Kita Merapat","Radikal-1"
"@LaskarCyberMus1","Ayo bersama rapatkan barisan ‼ Gemakan suara rakyat yg inginkan perubahan. Bersama kita buktikan ‼ Rakyat bkn alat politik penguasa. Tapi penentu politik masa depan negri","Radikal-1"
"@Hasrul19098414","Penaklukkan-penaklukkan hanya terjadi jika ada pasukan perang yang dilengkapi piranti perang yang kuat dan canggih","Radikal-1"
"@AAFikri1924","LAWAN... ALLAH bersama HTI. Takbiiirr..Allahu Akbar !!!","Radikal-1"
"@AAFikri1924","Rezim Anti Islam... Wajib di Lawan. Takbiiirr...Allahu Akbar!!!","Radikal-1"
"@dagelan_negeri","Pasti tumbang, jangan kasih kendor Kita jihad dengan kaos saja mereka sdh kalang kabut bagaimana kalau kita angkat pedang, kencing mereka di celana.","Radikal-1"
"@titorachman1","Setiap heli polisi lewat, massa sorakin saking bencinya, bahkan ada santri2 sudah siap Jihad, mereka sudah belajar pedang dan memanah!","Radikal-1"
"hilya.qonita.52","Otak serasa mendidih... Gigi merepat karna geram.. Si donald menantang Dunia.. Ayo ummat islam..Bangkit.... Tolonglah Agama Allah...Berjuanglah bebaskan Baituul MaqdiS.Bukan Untuk Menolong Allah..tp Untuk Menolong Diri Kita Sendiri..,,Apa yg Akan kita Pertanggung Jawabkan di hadapan Allah ketika dihari semua Manusia berkumpul untuk ditanya tiap2 jiwa.","Radikal-1"
"@Al_Fatih1453__","Ayo Ummat Islam Laksanakan Titah MUI Boikot Produk Amerika","Radikal-1"
"@ayieyudhistira","Ayo hentikan semua case Habib Rizieq. Sebelum ummat marah.","Radikal-1"
"@ISISWatchRI","Di balik teriakan "Daulah Islam. Baqiyah !!!" ada genangan darah orang-orang lemah yang di tumpahkan","Radikal-1"
"@OomNanang","Umat Islam Siap Menduduki Istana; Ahok tak Masuk Penjara, Jokowi Bisa Jatuh!","Radikal-1"
"@DedyHans1924","Jika Tetap Tidak Ada Progress, Umat Islam Bersiap untuk Rebut Balaikota dan Istana!","Radikal-1"
"@toedjoetiga","Yang mau kau hapus malah yg selamatkan nyawa kau hok , Alam dan Rakyat Indonesia DKI Jakarta sudah marah hok!!","Radikal-1"
"@narkosun","Benar akhi, ustad @rockygerung memang sedang didzalimi. Mari kita satukan umat untuk melakukan demo membela ust Rocky. Ust Rocky selama ini sdh berjuang melawan penguasa. Sebaik2 jihad adalah jihad kpd penguasa yg dzalim.","Radikal-1"
"@AufSazol","PENDAFTARAN MILITER NEGARA KHILAFAH ISLAM AD DAULATUL ISLAMIYAH MELAYU SIAP MENJADI PENEGAK SYARIAT ISLAM","Radikal-1"
"@GalihPr59808973","Mari kitq satukan fikiran utk mengibarkan bendera jihad.. Agar islam berdiri tegak d bumi pertiwi","Radikal-1"
"@bangoeden1","Please jangan bom bunuh diri donk, ntar ahok gimana..? Bisa hancur tubuh ahok","Radikal-1"
"@osnapitzqim","Selamat pagi warga kafir","Radikal-2"
"@mpokgaga","Mbak muslim? Kok tindikan? Kok tatoan? Ortu mbak gpp? Sekeluarga kafir ya","Radikal-2"
"@Gussumbogo","Dengarkanlah wahai orang2 kafir & munafik! Dengan atau tanpa adanya HTI, dakwah Khilafah akan tetap berjalan. Dengan atau tanpa adanya HTI, Khilafah pasti akan tegak kembali dimuka bumi. Khilafah pasti akan tegak, tidak peduli kaliam suka atau tidak!","Radikal-2"
"@Gussumbogo","Demi keamanan si Ahok, ayo kita dukung polri untuk memindahkan Ahok ke Nusa Kambangan.","Radikal-2"
"@Gussumbogo","Ini tempat yg buat ngandangin si kutil babi Ahok bukan?","Radikal-2"
"@Gussumbogo","Karna HTI ingin mengembalikan sistem Islam, sedangkan mereka tidak menerapkan sistem Islam, terlebih lagi negara2 itu para pemimpinya berkoalisi dengan negara2 kafir yang tidak menginginkan Khilafah itu tegak, karna negara2 kafir itu punya pengalaman buruk dgn adanya Khilafah.","Radikal-2"
"@Gussumbogo","Ya elah. Percuma ngomong ama orang Jahil!","Radikal-2"
"@Gussumbogo","Kalo umat Islam meyakini seperti apa yg elu yakini. maka akan selamanya umat Islam menjadi kacung orang2 kafir! Jadi kembalilah kejalan Allah, satu2nya jalan yg akan membawamu kepada kebahagiaan akhirat.","Radikal-2"
"@Gussumbogo","Kalo ente Islam bagaimana mungkin ente tidak meyakini hukum Islam, bagaimana mungkin orang Islam anti dgn hukum Islam, bagaimana mungkin orang Islam tdk suka Islam berjaya dgn hukum2 Islamnya.","Radikal-2"
